STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,iccs,International classification of crime for statistical purposes (ICCS),sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HR,Croatia,2015,,339,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HR,Croatia,2018,,328,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HR,Croatia,2019,,309,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HR,Croatia,2020,,290,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HR,Croatia,2021,,313,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HR,Croatia,2022,,331,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HU,Hungary,2013,,1471,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HU,Hungary,2014,,1537,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HU,Hungary,2015,,1402,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HU,Hungary,2017,,1700,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HU,Hungary,2018,,264,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HU,Hungary,2019,,521,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HU,Hungary,2020,,762,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HU,Hungary,2021,,946,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,HU,Hungary,2022,,1084,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IE,Ireland,2013,,411,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IE,Ireland,2014,,423,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IS,Iceland,2013,,19,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IS,Iceland,2017,,7,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IS,Iceland,2018,,7,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2008,,5553,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2009,,5837,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2010,,6019,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2011,,6072,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2012,,6166,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2013,,9629,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2014,,9394,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2015,,9147,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2016,,9064,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2017,,9201,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2018,,9237,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2019,,9218,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2020,,8824,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2021,,8830,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,IT,Italy,2022,,8793,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LI,Liechtenstein,2013,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LI,Liechtenstein,2014,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LI,Liechtenstein,2015,,0,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LI,Liechtenstein,2016,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2008,,1778,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2009,,1806,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2010,,1882,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2011,,1997,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2012,,1976,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2013,,1914,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2014,,1885,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2015,,1732,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2016,,1659,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2017,,1603,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2018,,1544,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2019,,1455,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2020,,1364,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2021,,1288,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LT,Lithuania,2022,,1185,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LU,Luxembourg,2011,,41,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LU,Luxembourg,2012,,54,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LU,Luxembourg,2013,,55,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LU,Luxembourg,2014,,61,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LU,Luxembourg,2015,,63,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LU,Luxembourg,2016,,1,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LU,Luxembourg,2017,,52,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2013,,721,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2014,,697,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2015,,645,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2016,,628,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2017,,611,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2018,,597,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2019,,544,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2020,,309,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2021,,515,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,LV,Latvia,2022,,533,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2008,,14,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2009,,15,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2010,,16,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2011,,20,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2012,,11,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2013,,15,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2014,,48,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2015,,40,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2016,,46,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2017,,49,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2018,,23,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2019,,30,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2020,,36,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2021,,40,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,ME,Montenegro,2022,,36,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2010,,13,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2011,,11,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2012,,8,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2013,,32,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2014,,32,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2015,,31,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2016,,37,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2017,,46,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2018,,51,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2019,,27,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2020,,29,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2021,,48,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,MT,Malta,2022,,51,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2008,,136,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2009,,132,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2010,,133,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2011,,138,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2012,,140,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2013,,131,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2014,,133,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2015,,142,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2016,,140,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2017,,144,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2018,,165,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2019,,164,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2020,,160,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2021,,167,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,NO,Norway,2022,,160,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2008,,4963,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2009,,4931,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2010,,4879,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2011,,4905,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2012,,4710,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2013,,4698,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2014,,4755,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2015,,4705,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2016,,4376,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2017,,4373,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2018,,4391,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2019,,4409,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2020,,4353,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2021,,4339,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PL,Poland,2022,,4344,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2008,,340,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2009,,341,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2010,,340,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2011,,335,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2012,,332,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2013,,330,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2014,,319,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2015,,314,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2016,,299,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2017,,289,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2018,,282,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2019,,249,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2020,,239,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2021,,256,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,PT,Portugal,2022,,239,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,RO,Romania,2008,,5810,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,RO,Romania,2009,,5559,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,RO,Romania,2010,,5499,,,,,
dataflow,ESTAT:CRIM_PRIS_OFF(1.0),Prisoners by offence category and sex,A,Annual,ICCS0101,Intentional homicide,T,Total,NR,Number,RO,Romania,2011,,5636,,,,,
